org_id,mid,cardcode,total_point,m_point_id
40288aca6b2c2870016b2c2dcaf60002,696103,1624160219990200655,-50,90885
40288aca6b2c2870016b2c2dcaf60002,869266,1624436614894100261,-380,91395
40288aca6b2c2870016b2c2dcaf60002,868619,1624438748654200238,-327,90478
40288aca6b2c2870016b2c2dcaf60002,867191,1624441623447700972,-170,89838
40288aca6b2c2870016b2c2dcaf60002,856164,1624444343400900215,-20,82331
40288aca6b2c2870016b2c2dcaf60002,856169,1624444553571500709,-20,82335
40288aca6b2c2870016b2c2dcaf60002,778020,1624444823990900800,-45,82330
40288aca6b2c2870016b2c2dcaf60002,622946,9409012907635267531,-20,5065
